timestamp,is_anomaly
1780635124,0
1780635138,0
1780635152,0
1780635167,0
1780635181,0
1780635195,0
1780635209,0
1780635223,0
1780635237,0
1780635252,0
1780635266,0
1780635280,0
1780635294,0
1780635308,0
1780635322,0
1780635336,0
1780635351,0
1780635365,0
1780635379,0
1780635393,0
1780635407,0
1780635421,0
1780635435,1
1780635436,1
1780635450,1
1780635464,1
1780635478,1
1780635492,1
1780635506,1
1780635520,1
1780635521,1
1780635535,0
1780635549,0
1780635563,0
1780635577,0
1780635591,0
1780635605,0
1780635606,0
1780635620,0
1780635634,0
1780635648,1
1780635662,1
1780635676,1
1780635690,1
1780635705,1
1780635719,1
1780635733,1
1780635747,0
1780635761,0
1780635775,0
1780635789,0
1780635804,0
1780635818,0
1780635832,0
1780635846,0
1780635860,1
1780635874,1
1780635889,1
1780635903,1
1780635917,1
1780635931,1
1780635945,1
1780635959,0
1780635973,0
1780635988,0
1780636002,0
1780636016,0
1780636030,0
1780636044,0
1780636058,0
1780636073,1
1780636087,1
1780636101,1
1780636115,1
1780636129,1
1780636143,1
1780636157,1
1780636158,1
1780636172,0
1780636186,0
1780636200,0
1780636214,0
1780636228,0
1780636242,0
1780636257,0
1780636271,0
1780636285,1
1780636299,1
1780636313,1
1780636327,1
1780636341,1
1780636356,1
1780636370,1
1780636384,0
1780636398,0
1780636412,0
1780636426,0
1780636427,0
1780636441,0
1780636455,0
1780636469,0
1780636483,0
1780636497,1
1780636512,0
1780636526,0
1780636540,0
1780636554,0
1780636568,0
1780636582,0
1780636596,0
1780636611,0
1780636625,0
1780636639,1
1780636653,0
1780636667,0
1780636681,0
1780636696,0
1780636710,0
1780636724,0
1780636738,0
1780636752,0
1780636766,0
1780636780,1
1780636795,0
1780636809,0
1780636823,0
1780636837,0
1780636851,0
1780636865,0
1780636880,0
1780636894,0
1780636908,1
1780636922,1
1780636936,1
1780636950,1
1780636965,0
1780636979,0
1780636993,0
1780637007,0
1780637021,0
1780637035,0
1780637050,0
1780637064,0
1780637078,0
1780637092,1
1780637106,1
1780637120,1
1780637134,1
1780637135,1
1780637149,0
1780637163,0
1780637177,0
1780637191,0
1780637205,0
1780637219,0
1780637234,0
1780637248,0
1780637262,0
1780637276,1
1780637290,1
1780637305,1
1780637319,1
1780637333,1
1780637347,1
1780637361,0
1780637375,0
1780637389,0
1780637390,0
1780637404,0
1780637418,0
1780637432,0
1780637446,0
1780637460,0
1780637474,0
1780637489,1
1780637503,1
1780637517,1
1780637531,1
1780637545,1
1780637559,1
1780637574,0
1780637588,0
1780637602,0
1780637616,0
1780637630,0
1780637644,0
1780637659,0
1780637673,0
1780637687,0
1780637701,1
1780637715,1
1780637729,1
1780637743,1
1780637744,1
1780637758,1
1780637772,1
1780637786,0
1780637800,0
1780637814,0
1780637828,0
1780637843,0
1780637857,0
1780637871,0
1780637885,0
1780637899,0
1780637913,1
1780637927,1
1780637928,1
1780637942,1
1780637956,1
1780637970,1
1780637984,1
1780637998,0
1780638012,0
1780638027,0
1780638041,0
1780638055,0
1780638069,0
1780638083,0
1780638097,0
1780638111,0
1780638126,1
1780638140,1
1780638154,1
1780638168,1
1780638182,1
1780638196,1
1780638211,0
1780638225,0
1780638239,0
1780638253,0
1780638267,0
1780638281,0
1780638282,0
1780638296,0
1780638310,0
1780638324,0
1780638338,1
1780638352,0
1780638366,0
1780638367,0
1780638381,0
1780638395,0
1780638409,0
1780638423,0
1780638437,0
1780638452,0
1780638466,1
1780638480,0
1780638494,0
1780638508,0
1780638522,0
1780638536,0
1780638551,0
1780638565,0
1780638579,0
1780638593,0
1780638607,1
1780638621,0
1780638636,0
1780638650,0
1780638664,0
1780638678,0
1780638692,0
1780638706,0
1780638720,0
1780638721,0
1780638735,0
1780638749,1
1780638763,1
1780638777,1
1780638791,1
1780638805,0
1780638820,0
1780638834,0
1780638848,0
1780638862,0
1780638876,0
1780638890,0
1780638904,0
1780638905,0
1780638919,1
1780638933,1
1780638947,1
1780638961,1
1780638975,1
1780638989,0
1780639004,0
1780639018,0
1780639032,0
1780639046,0
1780639060,0
1780639074,0
1780639089,0
1780639103,1
1780639117,1
1780639131,1
1780639145,1
1780639159,1
1780639160,1
1780639174,1
1780639188,1
1780639202,0
1780639216,0
1780639230,0
1780639244,0
1780639258,0
1780639273,0
1780639287,0
1780639301,0
1780639315,1
1780639329,1
1780639343,1
1780639358,1
1780639372,1
1780639386,1
1780639400,1
1780639414,0
1780639428,0
1780639442,0
1780639457,0
1780639471,0
1780639485,0
1780639499,0
1780639513,0
1780639527,1
1780639542,1
1780639556,1
1780639570,1
1780639584,1
1780639598,1
1780639612,1
1780639626,0
1780639641,0
1780639655,0
